{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{ld d,(hl)},{\$56},{1},{7},{ld e,(hl)},{\$5E},{1},{7}
{ld d,(ix+x)},{\$DD56},{3},{19},{ld e,(ix+x)},{\$DD5E},{3},{19}
{ld d,(iy+x)},{\$FD56},{3},{19},{ld e,(iy+x)},{\$FD5E},{3},{19}
{ld d,a},{\$57},{1},{4},{ld e,a},{\$5F},{1},{4}
{ld d,b},{\$50},{1},{4},{ld e,b},{\$58},{1},{4}
{ld d,c},{\$51},{1},{4},{ld e,c},{\$59},{1},{4}
{ld d,d},{\$52},{1},{4},{ld e,d},{\$5A},{1},{4}
{ld d,e},{\$53},{1},{4},{ld e,e},{\$5B},{1},{4}
{ld d,h},{\$54},{1},{4},{ld e,h},{\$5C},{1},{4}
{ld d,ixh},{\$DD54},{2},{8},{ld e,ixh},{\$DD5C},{2},{8}
{ld d,ixl},{\$DD55},{2},{8},{ld e,ixl},{\$DD5D},{2},{8}
{ld d,iyh},{\$FD54},{2},{8},{ld e,iyh},{\$FD5C},{2},{8}
{ld d,iyl},{\$FD55},{2},{8},{ld e,iyl},{\$FD5D},{2},{8}
{ld d,l},{\$55},{1},{4},{ld e,l},{\$5D},{1},{4}
{ld d,x},{\$16},{2},{7},{ld e,x},{\$1E},{2},{7}
{ld de,(xx)},{\$ED5B},{4},{20},{},{},{},{}
